Radio,Cell,Lon,Lat,Nearest_Distance,RSCP,Traffic,Ecno,Area coverage,Predict
3,19832154,39.67094421,-4.077987671,0.152316282,-85,0,-10,0.152316282,0
2,9484,39.65858459,-4.082107544,0.152316578,-85,0,-10,0.152316578,0
3,196862650,39.66545105,-4.075241089,0.152316815,-85,0,-10,0.152316815,0
3,196657986,39.66682434,-4.075241089,0.152316815,-85,0,-10,0.152316815,0
3,196863359,39.66407776,-4.072494507,0.152317288,-85,0,-10,0.152317288,0
3,196666760,39.66545105,-4.072494507,0.152317288,-85,0,-10,0.152317288,0
3,196666765,39.66407776,-4.069747925,0.15231782,-85,0,-10,0.15231782,0
3,196666085,39.6736908,-4.069747925,0.15231782,-85,0,-10,0.15231782,0
4,7970561,39.66407776,-4.068374634,0.152318116,-85,0,-10,0.152318116,0
3,196657984,39.66545105,-4.068374634,0.152318116,-85,0,-10,0.152318116,0
3,171551,39.66682434,-4.068374634,0.152318116,-85,0,-10,0.152318116,0
3,196666471,39.66819763,-4.068374634,0.152318116,-85,0,-10,0.152318116,0
3,196666086,39.6736908,-4.068374634,0.152318116,-85,0,-10,0.152318116,0
3,19832333,39.67781067,-4.068374634,0.152318116,-85,0,-10,0.152318116,0
3,196839739,39.66545105,-4.067001343,0.152318353,-85,0,-10,0.152318353,0
2,484,39.66957092,-4.067001343,0.152318353,-85,0,-10,0.152318353,0
3,196837262,39.67094421,-4.067001343,0.152318353,-85,0,-10,0.152318353,0
3,196666080,39.67506409,-4.067001343,0.152318353,-85,0,-10,0.152318353,0
3,196666764,39.66407776,-4.065628052,0.152318649,-85,0,-10,0.152318649,0
3,196837260,39.67094421,-4.065628052,0.152318649,-85,0,-10,0.152318649,0
3,196860013,39.6736908,-4.065628052,0.152318649,-85,0,-10,0.152318649,0
3,196666755,39.67781067,-4.065628052,0.152318649,-85,0,-10,0.152318649,0
4,7908353,39.67918396,-4.065628052,0.152318649,-85,0,-10,0.152318649,0
3,196853583,39.66270447,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
4,7909637,39.66407776,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
2,14795,39.66545105,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,137742497,39.66957092,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,196837258,39.67094421,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,196666756,39.6736908,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,33675372,39.67506409,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,196860008,39.67643738,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,196666755,39.67781067,-4.064254761,0.152318856,-85,0,-10,0.152318856,0
3,196853580,39.65995789,-4.06288147,0.152319093,-85,0,-10,0.152319093,0
2,3191,38.59153748,-3.410568237,0.15243245,-85,0,-10,0.15243245,0
3,196656935,38.36906433,-3.402328491,0.15243375,-85,0,-10,0.15243375,0
3,196794213,38.57643127,-3.405075073,0.152434371,-85,0,-10,0.152434371,0
2,8350,38.55995178,-3.394088745,0.152435051,-85,0,-10,0.152435051,0
3,174025,38.56132507,-3.394088745,0.152435051,-85,0,-10,0.152435051,0
3,196853308,38.56407166,-3.391342163,0.152435495,-85,0,-10,0.152435495,0
3,196794223,38.58467102,-3.391342163,0.152435495,-85,0,-10,0.152435495,0
3,196663130,38.55857849,-3.389968872,0.152435701,-85,0,-10,0.152435701,0
3,196860938,38.56269836,-3.392715454,0.152436352,-85,0,-10,0.152436352,0
2,9741,39.9332428,-3.367996216,0.152439101,-85,0,-10,0.152439101,0
3,196898849,38.56407166,-3.396835327,0.152440165,-85,0,-10,0.152440165,0
3,196663150,38.59977722,-3.358383179,0.152440638,-85,0,-10,0.152440638,0
3,544945,40.01289368,-3.352890015,0.152441496,-85,0,-10,0.152441496,0
3,196919955,40.01426697,-3.352890015,0.152441496,-85,0,-10,0.152441496,0
3,33670388,40.01838684,-3.352890015,0.152441496,-85,0,-10,0.152441496,0
2,2071,40.01976013,-3.352890015,0.152441496,-85,0,-10,0.152441496,0
3,196663140,38.565445,-3.380356,0.152442767,-85,0,-10,0.152442767,0
2,9744,39.94422913,-3.341903687,0.15244321,-85,0,-10,0.15244321,0
3,150893553,35.595703,3.118744,0.152444511,-85,0,-10,0.152444511,0
3,1683642,39.95384216,-3.324050903,0.152445989,-85,0,-10,0.152445989,0
3,33669279,40.01564026,-3.308944702,0.152448295,-85,0,-10,0.152448295,0
2,23004,40.01701355,-3.308944702,0.152448295,-85,0,-10,0.152448295,0
3,196794344,40.01701355,-3.307571411,0.152448501,-85,0,-10,0.152448501,0
2,2083,39.99229431,-3.303451538,0.152449181,-85,0,-10,0.152449181,0
