Cell-ID,Longitude,Latitude,Nearest_Distance,Area-Coverage,Range,Technology,Predict
10092,47.3712728,8.38992395,14.44345756,2511,1000,3,1
37,47.37129041,8.519817083,57.82359419,2511,1000,3,1
1516,47.37133445,7.999797009,60.51808193,2510,1000,3,1
1109,47.37133989,8.544049195,1.400208015,2510,1000,3,1
12847,47.37134462,8.556641568,1.644495206,2510,1000,3,1
8933,47.37139687,8.541852357,0.619818885,2511,1000,3,1
9585,47.371414,8.536278218,48.83292334,2510,1000,3,1
10035,47.37141466,8.097113187,24.65989377,2510,1000,3,1
11790,47.37142175,7.875341435,11.02255602,2511,1000,3,1
8917,47.37142763,7.974469662,60.92897926,2511,1000,3,1
2305,47.3715269,8.522417128,1.079335441,2511,1000,3,1
2055,47.37157034,8.53212373,74.2321697,2511,1000,3,0
12391,47.37162228,9.199709669,73.95204797,2511,1000,3,0
3998,47.37173536,8.534642933,0.134030184,2511,1000,3,1
1442,47.3717509,8.535848197,0.326933804,2511,1000,3,1
1527,47.37177691,8.538788271,11.4610865,2511,1000,3,1
9310,47.37185556,8.641860269,10.99685293,2511,1000,3,1
7884,47.37197094,8.54296326,0.378315602,2511,1000,3,1
7300,47.3720304,8.539561494,0.157626533,2511,1000,3,1
8296,47.37211584,8.538146445,26.13942984,2511,1000,3,1
3179,47.37213038,8.773223985,26.19349071,2511,1000,3,1
12591,47.37230037,8.537660323,0.677701169,2511,1000,3,1
7830,47.37242213,8.543753847,1.445811703,2514,1000,3,1
5111,47.37244686,8.530751373,1.853741315,2511,1000,3,1
9605,47.37245894,8.547422465,2.638443692,2511,1000,3,1
7392,47.37247739,8.523694378,11.35772174,2511,1000,3,1
9295,47.37248319,8.421551932,12.52551767,2511,1000,3,1
12804,47.37256715,8.534196588,0.42561509,2511,1000,3,1
10534,47.37260274,8.538024075,60.72987999,2511,1000,3,1
11767,47.37270385,7.991867152,60.34290561,2511,1000,3,1
2725,47.37271677,8.53454394,4.450816135,2511,1000,3,1
1071,47.37279276,8.494516859,78.18419891,2511,1000,3,0
6064,47.3728413,9.197644251,9.305669214,2511,3578,3,1
10805,47.3728855,9.281332133,85.8434797,2511,1280,3,0
4094,47.37291732,8.509323173,3.243702634,2511,1000,3,1
1835,47.37294008,8.538494483,2.174618555,2515,1000,3,1
12456,47.37298072,8.51893771,2.779914667,2514,1000,3,1
10381,47.37300506,8.543938072,1.7342194,2515,1000,3,1
3243,47.37314424,8.528342469,0.42862692,2514,1000,3,1
7234,47.37319777,8.53219684,0.556578287,2514,1000,3,1
7259,47.37320424,8.537202265,0.647969296,2515,1000,3,1
3807,47.37324762,8.543029435,1.264743822,2514,1000,3,1
11754,47.37326586,8.531655335,3.346729072,2514,1000,3,1
4382,47.37326789,8.501557477,15.34634661,2515,1000,3,1
8092,47.37333097,8.363544481,20.05669598,2514,1000,3,1
6266,47.37334706,8.543918681,6.557936697,2515,1000,3,1
7086,47.37338361,8.48494175,1.0398245,2515,1000,3,1
10893,47.37349643,8.494292451,4.006455814,2515,1000,3,1
10130,47.37353032,8.530323358,1.525504782,2514,1000,3,1
3246,47.37357075,8.544042494,0.990896859,2515,1438,3,1
3608,47.37358373,8.535131153,0.371233603,2515,1000,3,1
5260,47.37364194,8.538469241,1.631619607,2515,1000,3,1
3327,47.37371718,8.55314256,24.11127781,2515,1000,3,1
5298,47.37375103,8.769980488,76.23255988,2515,1000,3,0
2020,47.37377099,8.084404607,51.17023484,2515,1000,3,1
595,47.3737724,8.544589584,1.043717614,2515,1000,3,1
8445,47.37400579,8.535206044,1.665301247,2515,1000,3,1
7236,47.37400656,8.550182458,5.512681739,2515,1000,3,1
8148,47.37401424,8.500605721,3.055339246,2515,1000,3,1
3296,47.3740552,8.528083017,1.495909697,2515,1000,3,1
3595,47.37408235,8.514630005,57.90019375,2515,1000,3,1
926,47.37413312,7.993921055,160.4407855,2515,1000,3,0
5027,47.37416825,9.436799703,99.30695817,2515,1000,3,0
6334,47.3741766,8.543710772,2.104062995,2515,1000,3,1
1268,47.37418517,8.524788481,0.980643769,2515,1000,3,1
6596,47.37419186,8.53360762,0.568365562,2515,1000,3,1
487,47.37419726,8.538719051,0.156052551,2515,1000,3,1
12089,47.37421062,8.537315699,25.89477934,2515,1000,3,1
10868,47.37428374,8.304438365,23.38894226,2515,1000,3,1
6037,47.37430583,8.514780175,1.828801548,2515,1000,3,1
12395,47.37433134,8.531226963,1.108742469,2515,1000,3,1
12282,47.37433554,8.541198123,0.61396443,2515,1000,3,1
11698,47.37435213,8.535676633,2.065736363,2515,1000,3,1
4199,47.37438315,8.517099044,0.206456576,2515,1000,3,1
8237,47.37445576,8.518954364,1.207398755,2515,1000,3,1
5427,47.37446164,8.52981276,4.872093329,2515,1000,3,1
9416,47.37452542,8.485997017,45.32977692,2515,1000,3,1
1934,47.37456028,8.078336541,52.03828066,2515,1000,3,1
11357,47.37459229,8.546328041,109.6158469,2515,1000,3,0
11169,47.37459342,9.532127036,111.3444071,2515,1000,3,0
12039,47.37462338,8.530782726,75.60734255,2515,1000,3,0
5387,47.37464734,9.210735893,76.62909209,2515,1000,3,0
2011,47.37467392,8.521593912,0.020611019,2515,1000,3,1
4411,47.37467565,8.521408561,1.905322535,2515,1000,3,1
6631,47.37467568,8.538543539,5.767473027,2515,1000,3,1
7207,47.37468117,8.486675408,3.538321401,2515,1000,3,1
5160,47.37472091,8.518496272,2.135040502,2515,1000,3,1
5692,47.37472871,8.537697151,75.62696495,2515,1000,3,0
1074,47.37480819,9.217826783,75.99634925,2515,1000,3,0
8224,47.37481424,8.534375194,1.057060614,2515,1000,3,1
7955,47.37489503,8.524869155,2.7549668,2515,1000,3,1
3191,47.37491125,8.549645162,1.113150401,2515,1000,3,1
3764,47.37491715,8.539634361,1.680011502,2515,1000,3,1
6097,47.37493424,8.524525664,1.526971023,2515,1000,3,1
12241,47.37495724,8.538258026,0.590554405,2515,1000,3,1
